Governorate,Delegation,Locality,Nature,Type of Real Estate,Surface,Price,Inserted On
Nabeul,Hammamet,Hammamet,Sale,Houses,400.0,950000.0,14/09/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Sale,1-room apartment,67.0,330000.0,19/06/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,3444.0,3444000.0,02/12/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,3-room apartment,120.0,1300.0,10/11/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,Surfaces,500.0,15000.0,06/09/2023
Tunis,El Omrane Superieur,El Omrane Superieur,Sale,3-room apartment,110.0,125000.0,25/10/2023
Nabeul,Kelibia,Kelibia,Land,Vacant land,350.0,2500000.0,15/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,500.0,1000000.0,12/09/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,120.0,1250.0,15/11/2023
Nabeul,Hammamet,Hammamet,Land,Agricultural land,7500.0,220000.0,13/09/2023
Tunis,La Marsa,La Marsa,Sale,3-room apartment,154.0,324000.0,22/06/2023
Tunis,Bab Bhar,Bab Bhar,Land,Vacant land,306.0,850000.0,30/06/2023
Ariana,Ariana Ville,Ariana Ville,Rental,4-room apartment,130.0,1500.0,30/10/2023
Tunis,Carthage,Carthage,Rental,Houses,600.0,8000.0,06/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,296.0,780000.0,30/11/2023
Ariana,Ariana Ville,Ariana Ville,Vacation rental,2-room apartment,20.0,1100.0,02/08/2021
Ariana,La Soukra,La Soukra,Sale,Other,169.0,470000.0,20/06/2023
Medenine,Djerba - Houmet Essouk,Djerba - Houmet Essouk,Rental,5-room apartment and more,500.0,1900.0,25/09/2023
Bizerte,Utique,Utique,Land,Agricultural land,35000.0,650000.0,16/11/2023
Ben arous,El Mourouj,El Mourouj,Rental,Houses,140.0,650.0,26/11/2023
Sousse,Kalaa Essghira,Kalaa Essghira,Land,Agricultural land,10480.0,140000.0,19/09/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,450.0,950000.0,13/09/2023
Ariana,Ariana Ville,Ariana Ville,Vacation rental,3-room apartment,107.0,2500.0,24/09/2021
Tunis,Carthage,Carthage,Sale,Houses,400.0,1700000.0,25/05/2023
Ariana,Ariana Ville,Ariana Ville,Offices & Shops,Other,180.0,390.0,28/09/2023
Tunis,El Menzah,El Menzah,Rental,Houses,120.0,900.0,08/10/2023
Ariana,La Soukra,La Soukra,Rental,2-room apartment,110.0,2100.0,30/09/2023
Tunis,Le Bardo,Le Bardo,Rental,4-room apartment,145.0,1300.0,04/12/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Houses,700.0,1200000.0,13/09/2023
Tunis,El Menzah,El Menzah,Land,Vacant land,547.0,1148700.0,19/09/2023
Tunis,El Menzah,El Menzah,Land,Vacant land,509.0,509000.0,16/06/2023
Tunis,La Goulette,La Goulette,Sale,4-room apartment,140.0,630000.0,02/11/2023
Ariana,La Soukra,La Soukra,Rental,3-room apartment,1.0,1300.0,30/10/2023
Ben arous,El Mourouj,El Mourouj,Sale,Houses,364.0,550000.0,13/09/2023
Ariana,La Soukra,La Soukra,Land,Vacant land,335.0,250000.0,07/07/2023
Tunis,La Marsa,La Marsa,Rental,4-room apartment,180.0,3000.0,06/04/2021
Bizerte,Bizerte Nord,Bizerte Nord,Sale,Surfaces,480.0,240000.0,03/08/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,400.0,1600000.0,25/10/2023
Ariana,Ariana Ville,Ariana Ville,Rental,Houses,100.0,1000.0,31/10/2023
Tunis,Bab Bhar,Bab Bhar,Offices & Shops,Business property,50.0,80000.0,24/08/2022
Tunis,Carthage,Carthage,Rental,2-room apartment,120.0,2300.0,03/08/2023
Nabeul,Soliman,Soliman,Sale,Houses,500.0,650000.0,24/10/2022
Nabeul,Hammamet,Hammamet,Sale,Houses,160.0,285000.0,17/10/2023
Ben arous,El Mourouj,El Mourouj,Offices & Shops,Business property,100.0,550000.0,26/01/2023
Ariana,Mnihla,Mnihla,Land,Vacant land,600.0,120000.0,07/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,240.0,800000.0,19/10/2023
Manouba,Mannouba,Mannouba,Rental,Surfaces,2016.0,10080.0,05/04/2023
Tunis,La Marsa,La Marsa,Rental,Surfaces,100.0,2200.0,06/03/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Land,Vacant land,525.0,840000.0,20/11/2023
Tunis,El Menzah,El Menzah,Offices & Shops,Office,530.0,11000.0,29/09/2022
Ariana,Ariana Ville,Ariana Ville,Rental,Houses,1200.0,5000.0,25/09/2023
Nabeul,Hammamet,Hammamet,Rental,Houses,800.0,6000.0,25/10/2023
Tunis,La Marsa,La Marsa,Sale,3-room apartment,138.0,290000.0,14/09/2023
Ben arous,Ben Arous,Ben Arous,Rental,Other,9.0,280.0,05/08/2023
Ariana,La Soukra,La Soukra,Sale,2-room apartment,115.0,380000.0,20/05/2023
Zaghouan,Bir Mcherga,Bir Mcherga,Land,Agricultural land,57500.0,430000.0,05/12/2022
Bizerte,Bizerte Nord,Bizerte Nord,Land,Vacant land,339.0,115000.0,13/06/2023
Nabeul,Menzel Temime,Menzel Temime,Sale,Houses,334.0,1380000.0,10/04/2023
Tunis,El Menzah,El Menzah,Rental,2-room apartment,65.0,650.0,28/11/2023
Nabeul,Kelibia,Kelibia,Sale,Surfaces,359.0,180000.0,20/10/2023
Sfax,Sfax Sud,Sfax Sud,Sale,Other,393.0,250000.0,17/10/2023
Sousse,Sousse Riadh,Sousse Riadh,Sale,Houses,248.0,280000.0,19/03/2021
Sfax,Sakiet Ezzit,Sakiet Ezzit,Land,Vacant land,3600.0,28000.0,15/06/2021
Ben arous,El Mourouj,El Mourouj,Offices & Shops,"Workshop, Garage",175.0,1200.0,30/06/2023
Ben arous,Bou Mhel El Bassatine,Bou Mhel El Bassatine,Land,Vacant land,430.0,170000.0,02/10/2023
Ariana,La Soukra,La Soukra,Sale,Houses,125.0,750000.0,17/11/2023
Sousse,Sousse Jaouhara,Sousse Jaouhara,Sale,3-room apartment,90.0,165000.0,23/05/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Office,200.0,3800.0,01/08/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,1200.0,2200000.0,27/03/2023
Tunis,La Marsa,La Marsa,Rental,2-room apartment,100.0,1300.0,30/11/2023
Ariana,La Soukra,La Soukra,Offices & Shops,Surfaces,390.0,2500.0,28/09/2023
Tunis,Carthage,Carthage,Rental,2-room apartment,170.0,1700.0,29/11/2023
Tunis,Bab Bhar,Bab Bhar,Rental,2-room apartment,60.0,660.0,25/10/2023
Ariana,Ariana Ville,Ariana Ville,Rental,1-room apartment,84.0,800.0,11/09/2023
Ariana,La Soukra,La Soukra,Sale,Surfaces,900.0,380000.0,23/05/2023
Tunis,El Hrairia,El Hrairia,Land,Vacant land,411.0,411000.0,20/11/2023
Tunis,La Marsa,La Marsa,Sale,3-room apartment,140.0,320000.0,17/08/2023
Nabeul,Kelibia,Kelibia,Sale,Houses,420.0,400000.0,07/04/2023
Tunis,El Omrane Superieur,El Omrane Superieur,Rental,Houses,75.0,550.0,22/11/2023
Ariana,Mnihla,Mnihla,Land,Vacant land,285.0,285000.0,06/08/2023
Tunis,El Menzah,El Menzah,Rental,1-room apartment,90.0,750.0,14/08/2023
Sousse,Akouda,Akouda,Land,Vacant land,261.0,91000.0,13/06/2022
Tunis,El Menzah,El Menzah,Offices & Shops,Office,170.0,1900.0,29/08/2023
Tunis,Le Bardo,Le Bardo,Rental,4-room apartment,120.0,1100.0,30/11/2023
Tunis,Bab Bhar,Bab Bhar,Rental,4-room apartment,1.0,800.0,22/11/2023
Tunis,El Menzah,El Menzah,Rental,4-room apartment,140.0,1350.0,28/11/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,2-room apartment,1.0,850.0,09/01/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,240.0,720000.0,28/11/2023
Ariana,Ariana Ville,Ariana Ville,Rental,Houses,190.0,1200.0,06/09/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Sale,2-room apartment,131.0,488000.0,23/05/2023
Tunis,La Marsa,La Marsa,Rental,Houses,600.0,2900.0,28/11/2023
Sfax,Sfax Sud,Sfax Sud,Rental,4-room apartment,145.0,1300.0,19/11/2023
Ariana,Ariana Ville,Ariana Ville,Offices & Shops,Surfaces,46.0,55000.0,03/05/2023
Ariana,Ariana Ville,Ariana Ville,Land,Vacant land,600.0,960000.0,14/07/2023
Ariana,Ariana Ville,Ariana Ville,Sale,4-room apartment,180.0,405000.0,28/10/2022
Ariana,Ariana Ville,Ariana Ville,Rental,Houses,300.0,4500.0,07/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,296.0,900000.0,25/10/2023
Nabeul,Beni Khiar,Beni Khiar,Land,Vacant land,3000.0,100000.0,14/10/2023
Ariana,Ariana Ville,Ariana Ville,Rental,2-room apartment,70.0,900.0,12/08/2023
Ben arous,Hammam Lif,Hammam Lif,Sale,Houses,600.0,650000.0,02/12/2023
Ben arous,Nouvelle Medina,Nouvelle Medina,Rental,3-room apartment,75.0,850.0,06/12/2023
Ben arous,El Mourouj,El Mourouj,Sale,4-room apartment,82.0,135000.0,26/05/2023
Nabeul,Hammamet,Hammamet,Rental,2-room apartment,70.0,1000.0,19/09/2023
Ben arous,Nouvelle Medina,Nouvelle Medina,Rental,3-room apartment,60.0,500.0,09/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,420.0,1500000.0,04/12/2023
Bizerte,Bizerte Nord,Bizerte Nord,Rental,Houses,130.0,500.0,30/10/2023
Mahdia,Mahdia,Mahdia,Sale,1-room apartment,47.0,90000.0,13/11/2023
Tunis,Carthage,Carthage,Rental,Houses,400.0,5500.0,17/10/2023
Nabeul,Hammamet,Hammamet,Rental,Houses,450.0,3000.0,05/12/2023
Tunis,La Marsa,La Marsa,Sale,4-room apartment,210.0,1000000.0,20/09/2021
Sousse,Hammam Sousse,Hammam Sousse,Sale,Houses,335.0,320000.0,18/01/2023
Tunis,El Menzah,El Menzah,Rental,3-room apartment,130.0,1000.0,08/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,840.0,2000000.0,28/11/2023
Tunis,Bab Bhar,Bab Bhar,Sale,Other,150.0,220000.0,07/04/2023
Tunis,La Marsa,La Marsa,Sale,Houses,450.0,4500000.0,25/11/2023
Ben arous,Fouchana,Fouchana,Rental,Other,240.0,1100.0,14/11/2023
Sousse,Akouda,Akouda,Land,Agricultural land,5600.0,252000.0,18/06/2022
Tunis,La Marsa,La Marsa,Rental,4-room apartment,1.0,2000.0,15/12/2022
Nabeul,Beni Khiar,Beni Khiar,Sale,Houses,200.0,380000.0,19/09/2023
Ben arous,Rades,Rades,Rental,4-room apartment,120.0,1200.0,14/11/2023
Tunis,Le Bardo,Le Bardo,Rental,Other,136.0,2200.0,05/10/2023
Ariana,Ariana Ville,Ariana Ville,Rental,4-room apartment,120.0,950.0,07/09/2023
Tunis,Cite El Khadra,Cite El Khadra,Offices & Shops,Office,120.0,290000.0,20/11/2023
Sfax,Sfax Ville,Sfax Ville,Rental,Surfaces,1000.0,8888.0,09/11/2023
Ben arous,Ben Arous,Ben Arous,Offices & Shops,"Workshop, Garage",101.0,216000.0,08/09/2023
Ariana,La Soukra,La Soukra,Rental,3-room apartment,100.0,1000.0,20/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,678.0,1600000.0,03/11/2023
Tunis,Bab Bhar,Bab Bhar,Rental,Other,69.0,2000.0,21/10/2023
Sousse,Hammam Sousse,Hammam Sousse,Sale,Houses,305.0,670000.0,26/06/2023
Ariana,Ariana Ville,Ariana Ville,Sale,4-room apartment,110.0,300000.0,27/10/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Land,Vacant land,1706.0,7677000.0,07/10/2023
Mahdia,Mahdia,Mahdia,Sale,2-room apartment,101.0,285000.0,11/11/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Free management,85.0,10090.0,07/10/2023
Ariana,Ariana Ville,Ariana Ville,Sale,3-room apartment,124.0,240000.0,01/11/2023
Ariana,La Soukra,La Soukra,Offices & Shops,Office,47.0,800.0,14/01/2023
Ariana,La Soukra,La Soukra,Rental,3-room apartment,120.0,1600.0,12/09/2023
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Land,Vacant land,372.0,280000.0,23/11/2023
Bizerte,Bizerte Nord,Bizerte Nord,Land,Vacant land,1200.0,216000.0,15/10/2023
Ariana,Raoued,Raoued,Sale,Houses,300.0,300000.0,01/05/2021
Nabeul,Hammamet,Hammamet,Sale,Houses,310.0,1150000.0,03/10/2023
Bizerte,Bizerte Nord,Bizerte Nord,Rental,3-room apartment,100.0,900.0,01/12/2023
Tunis,Cite El Khadra,Cite El Khadra,Rental,Houses,60.0,700.0,05/12/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,320.0,850000.0,26/09/2023
Nabeul,Hammamet,Hammamet,Rental,2-room apartment,100.0,1000.0,09/10/2023
Tunis,El Menzah,El Menzah,Sale,Houses,760.0,2100000.0,07/06/2023
Nabeul,Kelibia,Kelibia,Sale,Houses,271.0,320000.0,06/01/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Sale,1-room apartment,42.0,250000.0,17/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,450.0,1320000.0,24/11/2023
Ariana,La Soukra,La Soukra,Land,Vacant land,1550.0,1163000.0,17/07/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Surfaces,20.0,35000.0,24/08/2023
Ariana,Raoued,Raoued,Land,Vacant land,156.0,31200.0,29/12/2022
Nabeul,El Haouaria,El Haouaria,Sale,Houses,850.0,150000.0,14/06/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,350.0,1200000.0,08/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,450.0,950000.0,21/09/2023
Nabeul,Hammamet,Hammamet,Sale,2-room apartment,50.0,120000.0,23/09/2023
Tunis,La Marsa,La Marsa,Sale,4-room apartment,300.0,1600000.0,06/07/2023
Tunis,La Marsa,La Marsa,Rental,1-room apartment,65.0,900.0,01/12/2023
Tunis,La Goulette,La Goulette,Sale,Other,198.0,900000.0,03/01/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,280.0,850000.0,03/11/2023
Ariana,Mnihla,Mnihla,Sale,3-room apartment,140.0,360000.0,26/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,350.0,1300000.0,19/09/2023
Tunis,Bab Bhar,Bab Bhar,Rental,3-room apartment,80.0,1200.0,06/11/2023
Tunis,La Marsa,La Marsa,Rental,Houses,300.0,7000.0,23/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,700.0,3900000.0,09/09/2023
Ariana,Ariana Ville,Ariana Ville,Land,Vacant land,3666.0,7332000.0,29/09/2023
Mahdia,Mahdia,Mahdia,Sale,3-room apartment,118.0,160000.0,02/12/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,2-room apartment,100.0,2200.0,08/04/2023
Tunis,La Marsa,La Marsa,Offices & Shops,"Workshop, Garage",400.0,3500.0,04/10/2023
Nabeul,Menzel Bouzelfa,Menzel Bouzelfa,Land,Vacant land,860.0,247000.0,27/08/2023
Tunis,La Goulette,La Goulette,Rental,3-room apartment,160.0,2500.0,05/10/2023
Tunis,La Marsa,La Marsa,Sale,Duplex,220.0,695000.0,23/10/2023
Ben arous,Megrine,Megrine,Rental,3-room apartment,90.0,700.0,14/11/2022
Sousse,Hammam Sousse,Hammam Sousse,Land,Vacant land,1300.0,2600000.0,04/09/2021
Tunis,La Marsa,La Marsa,Rental,2-room apartment,75.0,650.0,05/12/2023
Tunis,La Marsa,La Marsa,Rental,4-room apartment,250.0,750.0,27/11/2023
Tunis,Bab Bhar,Bab Bhar,Offices & Shops,Business property,230.0,200000.0,20/12/2022
Sousse,Hammam Sousse,Hammam Sousse,Rental,Surfaces,380.0,3000.0,27/10/2023
Nabeul,Korba,Korba,Sale,Houses,287.0,610000.0,27/10/2023
Nabeul,Kelibia,Kelibia,Vacation rental,2-room apartment,50.0,600.0,23/04/2019
Nabeul,Kelibia,Kelibia,Sale,3-room apartment,75.0,135000.0,20/10/2023
Sousse,Sousse Ville,Sousse Ville,Rental,Surfaces,534.0,10000.0,10/12/2022
Tunis,Bab Bhar,Bab Bhar,Offices & Shops,Office,80.0,1400.0,01/06/2023
Tunis,La Marsa,La Marsa,Rental,Houses,350.0,4000.0,03/10/2023
Tunis,La Marsa,La Marsa,Sale,3-room apartment,146.0,300000.0,04/01/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Houses,475.0,1200000.0,14/11/2023
Tunis,El Menzah,El Menzah,Sale,Houses,480.0,1440000.0,13/03/2023
Le Kef,Le Kef Est,Le Kef Est,Rental,Houses,102.0,250.0,10/10/2023
Tunis,La Marsa,La Marsa,Sale,Houses,761.0,1900000.0,13/09/2023
Ariana,Ariana Ville,Ariana Ville,Rental,3-room apartment,100.0,1200.0,22/08/2023
Tunis,El Menzah,El Menzah,Rental,3-room apartment,1.0,800.0,17/11/2023
Ariana,Ariana Ville,Ariana Ville,Offices & Shops,Office,100.0,365.0,06/09/2023
Manouba,Mannouba,Mannouba,Sale,Duplex,300.0,750000.0,30/10/2023
Tunis,El Menzah,El Menzah,Rental,1-room apartment,150.0,1700.0,15/08/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,240.0,550000.0,21/09/2023
Gabes,Gabes Medina,Gabes Medina,Rental,Surfaces,80.0,1000.0,20/09/2023
Zaghouan,Bir Mcherga,Bir Mcherga,Land,Agricultural land,20000.0,130000.0,02/05/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Office,188.0,4309.0,14/12/2022
Ben arous,El Mourouj,El Mourouj,Vacation rental,3-room apartment,90.0,140.0,14/11/2023
Ariana,Raoued,Raoued,Sale,Houses,420.0,480000.0,07/04/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,80.0,260000.0,21/09/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,350.0,720000.0,13/09/2023
Tunis,Cite El Khadra,Cite El Khadra,Rental,Other,296.0,3500.0,16/05/2023
Ariana,Raoued,Raoued,Sale,Other,720.0,1200000.0,14/11/2023
Tunis,Cite El Khadra,Cite El Khadra,Rental,2-room apartment,70.0,750.0,01/12/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,288.0,850000.0,24/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,400.0,2200000.0,26/09/2023
Sousse,Sousse Ville,Sousse Ville,Vacation rental,3-room apartment,80.0,1200.0,07/10/2023
Ben arous,Megrine,Megrine,Sale,2-room apartment,116.0,200000.0,06/10/2023
Tunis,La Marsa,La Marsa,Rental,4-room apartment,250.0,5000.0,18/10/2023
Ariana,Ariana Ville,Ariana Ville,Sale,1-room apartment,46.0,170000.0,16/11/2023
Ben arous,Ben Arous,Ben Arous,Rental,Surfaces,2785.0,21500.0,02/11/2023
Tunis,El Menzah,El Menzah,Sale,4-room apartment,145.0,430000.0,13/11/2023
Ariana,La Soukra,La Soukra,Land,Vacant land,384.0,211200.0,16/01/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Sale,Duplex,280.0,750000.0,14/12/2022
Ben arous,Ezzahra,Ezzahra,Vacation rental,1-room apartment,80.0,1900.0,15/03/2021
Tunis,La Marsa,La Marsa,Rental,Duplex,100.0,1500.0,08/09/2023
Ben arous,Bou Mhel El Bassatine,Bou Mhel El Bassatine,Rental,2-room apartment,100.0,800.0,02/11/2023
Tunis,El Menzah,El Menzah,Offices & Shops,Office,279.0,6045.0,12/11/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Sale,1-room apartment,49.0,220000.0,16/08/2023
Jendouba,Ghardimaou,Ghardimaou,Offices & Shops,Surfaces,59.0,165200.0,29/09/2022
Nabeul,Hammamet,Hammamet,Land,Vacant land,814.0,284900.0,23/11/2023
Ariana,Raoued,Raoued,Sale,3-room apartment,70.0,120000.0,04/11/2023
Zaghouan,Zaghouan,Zaghouan,Land,Agricultural land,180000.0,900000.0,08/11/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Other,1600.0,2400000.0,13/10/2023
Tunis,Bab Bhar,Bab Bhar,Land,Vacant land,600.0,680000.0,27/03/2023
Tunis,El Menzah,El Menzah,Rental,Duplex,200.0,1600.0,09/11/2023
Ben arous,Ezzahra,Ezzahra,Vacation rental,3-room apartment,120.0,1900.0,15/03/2021
Nabeul,Hammamet,Hammamet,Sale,Houses,420.0,1200000.0,07/11/2023
Tunis,El Menzah,El Menzah,Rental,2-room apartment,80.0,1050.0,23/10/2023
Nabeul,Dar Chaabane Elfehri,Dar Chaabane Elfehri,Land,Vacant land,900.0,300000.0,06/10/2023
Tunis,Carthage,Carthage,Sale,Houses,880.0,5000000.0,11/09/2023
Nabeul,Hammamet,Hammamet,Rental,Houses,500.0,4000.0,28/10/2023
Tunis,La Marsa,La Marsa,Sale,Houses,380.0,3000000.0,02/10/2023
Tunis,Cite El Khadra,Cite El Khadra,Offices & Shops,Business property,90.0,85000.0,08/07/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,2-room apartment,70.0,180.0,31/07/2017
Nabeul,Kelibia,Kelibia,Sale,Houses,281.0,520000.0,16/09/2022
Tunis,La Marsa,La Marsa,Rental,3-room apartment,200.0,4800.0,06/11/2023
Ben arous,Hammam Chatt,Hammam Chatt,Sale,Houses,670.0,940000.0,08/05/2023
Sousse,Hammam Sousse,Hammam Sousse,Land,Vacant land,2000.0,2100000.0,03/10/2022
Ben arous,Ben Arous,Ben Arous,Sale,Houses,400.0,480000.0,28/09/2023
Sousse,Sidi Bou Ali,Sidi Bou Ali,Land,Agricultural land,10000.0,340000.0,13/06/2022
Nabeul,Hammamet,Hammamet,Sale,2-room apartment,64.0,170000.0,28/10/2023
Tunis,Carthage,Carthage,Rental,Houses,400.0,4500.0,11/11/2022
Tunis,El Omrane,El Omrane,Sale,Duplex,300.0,500000.0,03/06/2023
Tunis,Bab Bhar,Bab Bhar,Rental,1-room apartment,40.0,550.0,19/10/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,1264.0,1264000.0,01/12/2023
Nabeul,Hammamet,Hammamet,Rental,Houses,500.0,600.0,03/10/2023
Nabeul,Kelibia,Kelibia,Sale,Houses,268.0,550000.0,22/10/2023
Tunis,La Marsa,La Marsa,Rental,Other,250.0,1700.0,28/11/2023
Ariana,La Soukra,La Soukra,Rental,Houses,400.0,7200.0,10/11/2023
Ben arous,Megrine,Megrine,Rental,Other,260.0,3000.0,20/10/2023
Sousse,Akouda,Akouda,Land,Agricultural land,564.0,366600.0,31/07/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,350.0,1300000.0,16/10/2023
Nabeul,Hammamet,Hammamet,Rental,Houses,600.0,4500.0,28/11/2023
Sfax,Sfax Ville,Sfax Ville,Rental,2-room apartment,50.0,750.0,20/09/2023
Manouba,Mannouba,Mannouba,Sale,2-room apartment,96.0,170000.0,04/09/2023
Sfax,Sfax Ville,Sfax Ville,Sale,Houses,90.0,55000.0,27/10/2022
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,Other,65.0,980.0,16/10/2023
Tunis,La Marsa,La Marsa,Rental,Houses,300.0,5500.0,11/11/2022
Nabeul,Hammamet,Hammamet,Land,Vacant land,344.0,412800.0,18/10/2023
Ariana,Ariana Ville,Ariana Ville,Rental,2-room apartment,74.0,1200.0,28/09/2023
Nabeul,Beni Khiar,Beni Khiar,Rental,Houses,909.0,10000.0,14/09/2023
Ben arous,Rades,Rades,Sale,3-room apartment,70.0,140000.0,17/10/2023
Ben arous,Nouvelle Medina,Nouvelle Medina,Rental,1-room apartment,75.0,700.0,06/12/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,3-room apartment,100.0,1100.0,01/09/2023
Ariana,La Soukra,La Soukra,Land,Vacant land,361.0,216600.0,05/10/2023
Tunis,La Marsa,La Marsa,Rental,4-room apartment,120.0,1800.0,07/11/2023
Tunis,Bab Bhar,Bab Bhar,Rental,1-room apartment,50.0,600.0,13/09/2023
Sousse,Akouda,Akouda,Sale,2-room apartment,70.0,185000.0,05/10/2023
Sousse,Kalaa El Kebira,Kalaa El Kebira,Sale,Houses,100.0,350000.0,21/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,290.0,950000.0,21/09/2023
Nabeul,Hammamet,Hammamet,Sale,3-room apartment,80.0,300000.0,22/11/2023
Ariana,Ariana Ville,Ariana Ville,Rental,Surfaces,60.0,1500.0,04/11/2023
Ben arous,Rades,Rades,Offices & Shops,Other,438.0,1700.0,26/05/2023
Tunis,Cite El Khadra,Cite El Khadra,Sale,3-room apartment,82.0,185000.0,20/11/2023
Nabeul,Soliman,Soliman,Sale,Other,178.0,92000.0,23/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,342.0,950000.0,23/10/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,1.0,1500.0,28/11/2023
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Sale,3-room apartment,120.0,250000.0,18/04/2023
Tunis,Bab Bhar,Bab Bhar,Rental,3-room apartment,90.0,1200.0,30/10/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Sale,2-room apartment,93.0,240000.0,19/09/2023
Bizerte,Bizerte Nord,Bizerte Nord,Land,Vacant land,2923.0,1750000.0,23/09/2023
Ariana,La Soukra,La Soukra,Offices & Shops,Free management,65.0,1800.0,28/01/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,280.0,1200.0,05/10/2023
Tunis,Le Bardo,Le Bardo,Land,Vacant land,557.0,980000.0,12/09/2022
Nabeul,Dar Chaabane Elfehri,Dar Chaabane Elfehri,Land,Vacant land,900.0,300000.0,28/09/2023
Tunis,El Kram,El Kram,Rental,2-room apartment,40.0,900.0,16/11/2023
Tunis,Cite El Khadra,Cite El Khadra,Offices & Shops,Office,120.0,1200.0,21/09/2023
Mahdia,Mahdia,Mahdia,Land,Vacant land,400.0,280000.0,21/10/2023
Tunis,Le Bardo,Le Bardo,Rental,1-room apartment,20.0,350.0,13/11/2023
Ariana,La Soukra,La Soukra,Sale,3-room apartment,90.0,110000.0,30/05/2023
Tunis,El Menzah,El Menzah,Sale,1-room apartment,60.0,165000.0,09/11/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,5-room apartment and more,1.0,1500.0,10/01/2023
Tunis,Sidi El Bechir,Sidi El Bechir,Rental,3-room apartment,150.0,750.0,25/10/2023
Ariana,Mnihla,Mnihla,Rental,2-room apartment,60.0,800.0,03/09/2023
Tunis,El Omrane Superieur,El Omrane Superieur,Sale,2-room apartment,112.0,142000.0,01/12/2023
Tunis,La Marsa,La Marsa,Rental,5-room apartment and more,1.0,6000.0,28/04/2023
Tunis,Carthage,Carthage,Sale,Houses,1000.0,5500000.0,12/09/2023
Tunis,El Menzah,El Menzah,Rental,3-room apartment,95.0,1000.0,16/11/2023
Ben arous,Bou Mhel El Bassatine,Bou Mhel El Bassatine,Rental,2-room apartment,110.0,1050.0,11/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,120.0,260000.0,14/11/2023
Ariana,Ariana Ville,Ariana Ville,Sale,3-room apartment,114.0,310000.0,19/09/2023
Manouba,Mannouba,Mannouba,Sale,3-room apartment,124.0,180000.0,08/08/2023
Sousse,Sousse Ville,Sousse Ville,Sale,3-room apartment,180.0,315000.0,19/08/2023
Ariana,Mnihla,Mnihla,Land,Vacant land,437.0,470000.0,14/10/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,Duplex,1.0,2500.0,15/12/2022
